EMDB id,Status,Entry_Title,Entry_Authors,Deposit_Date,Map_Release,Resolution,Method,Detector,Energy_Filter,Associated_PDB,Citation_Authors,Citation_Year,Journal
EMD-0001,REL,Cryo-EM structure of bacterial RNA polymerase-sigma54 holoenzyme transcription open complex,"Glyde R, Ye FZ, Zhang XD",5/4/2018,7/4/2018,3.4,singleParticle,GATAN K2 SUMMIT (4k x 4k),,6gh5,"Glyde R, Ye F, Jovanovic M, Kotta-Loizou I, Buck M, Zhang X",2018,Mol Cell
EMD-0002,REL,Cryo-EM structure of bacterial RNA polymerase-sigma54 holoenzyme intermediate partially loaded complex,"Glyde R, Ye FZ, Zhang XD",5/4/2018,7/4/2018,4.1,singleParticle,GATAN K2 SUMMIT (4k x 4k),,6gh6,"Glyde R, Ye F, Jovanovic M, Kotta-Loizou I, Buck M, Zhang X",2018,Mol Cell
EMD-0004,REL,Saccharomyces cerevisiae respiratory supercomplex III2IV,"Rathore S, Berndtsson J, Conrad J, Ott M",5/15/2018,1/2/2019,3.2,singleParticle,GATAN K2 SUMMIT (4k x 4k),,6giq,"Rathore S, Berndtsson J, Marin-Buera L, Conrad J, Carroni M, Brzezinski P, Ott M",2019,Nat Struct Mol Biol
EMD-0005,REL,Saccharomyces cerevisiae supercomplex class 1 (III2IV),"Rathore S, Berndtsson J, Conrad J, Ott M",5/15/2018,1/2/2019,3.3,singleParticle,GATAN K2 SUMMIT (4k x 4k),,,"Rathore S, Berndtsson J, Marin-Buera L, Conrad J, Carroni M, Brzezinski P, Ott M",2019,Nat Struct Mol Biol
EMD-0006,REL,Saccharomyces cerevisiae supercomplex class2 (III2IV2),"Rathore S, Berndtsson J, Conrad J, Ott M",5/15/2018,1/2/2019,3.5,singleParticle,GATAN K2 SUMMIT (4k x 4k),,,"Rathore S, Berndtsson J, Marin-Buera L, Conrad J, Carroni M, Brzezinski P, Ott M",2019,Nat Struct Mol Biol
EMD-0007,REL,MlaBDEF complex from A. baumannii,"Bergeron JRC, Kollman JM",5/15/2018,2/20/2019,8.7,singleParticle,GATAN K2 SUMMIT (4k x 4k),,,"Kamischke C, Fan J, Bergeron J, Kulasekara HD, Dalebroux ZD, Burrell A, Kollman JM, Miller SI",2019,Elife
EMD-0008,REL,The baseplate complex from the type VI secretion system,"Rapisarda C, Fronzes R",5/15/2018,10/17/2018,4.3,singleParticle,GATAN K2 SUMMIT (4k x 4k),,6giy,"Cherrak Y, Rapisarda C, Pellarin R, Bouvier G, Bardiaux B, Allain F, Malosse C, Rey M, Chamot-Rooke J, Cascales E, Fronzes R, Durand E",2018,Nat Microbiol
EMD-0009,REL,The baseplate complex from the type VI secretion system,"Rapisarda C, Fronzes R",5/15/2018,10/17/2018,4.7,singleParticle,GATAN K2 SUMMIT (4k x 4k),,6gj1,"Cherrak Y, Rapisarda C, Pellarin R, Bouvier G, Bardiaux B, Allain F, Malosse C, Rey M, Chamot-Rooke J, Cascales E, Fronzes R, Durand E",2018,Nat Microbiol
EMD-0010,REL,The baseplate complex from the type VI secretion system,"Rapisarda C, Fronzes R",5/15/2018,10/17/2018,4.3,singleParticle,GATAN K2 SUMMIT (4k x 4k),,6gj3,"Cherrak Y, Rapisarda C, Pellarin R, Bouvier G, Bardiaux B, Allain F, Malosse C, Rey M, Chamot-Rooke J, Cascales E, Fronzes R, Durand E",2018,Nat Microbiol
EMD-0011,REL,Structure of Mycobacterium tuberculosis Fatty Acid Synthase - I,"Elad N, Baron S, Shakked Z, Zimhony O, Diskin R",5/16/2018,9/5/2018,3.3,singleParticle,GATAN K2 SUMMIT (4k x 4k),,6gjc,"Elad N, Baron S, Peleg Y, Albeck S, Grunwald J, Raviv G, Shakked Z, Zimhony O, Diskin R",2018,Nat Commun
EMD-0012,REL,CryoEM structure of the MDA5-dsRNA filament in complex with AMPPNP,"Yu Q, Qu K, Modis Y",5/17/2018,11/21/2018,4.1,helical,FEI FALCON III (4k x 4k),,6gjz,"Yu Q, Qu K, Modis Y",2018,Mol Cell
EMD-0013,REL,Helical reconstruction of BCL10 CARD and MALT1 DEATH DOMAIN complex,"Schlauderer F, Desfosses A, Gutsche I, Hopfner KP, Lammens K",5/18/2018,10/31/2018,4.9,helical,FEI FALCON III (4k x 4k),,6gk2,"Schlauderer F, Seeholzer T, Desfosses A, Gehring T, Strauss M, Hopfner KP, Gutsche I, Krappmann D, Lammens K",2018,Nat Commun
EMD-0014,REL,Two protofilament beta-2-microglobulin amyloid fibril,"Iadanza MG, Ranson NA",5/18/2018,11/14/2018,4,helical,GATAN K2 SUMMIT (4k x 4k),,6gk3,"Iadanza MG, Silvers R, Boardman J, Smith HI, Karamanos TK, Debelouchina GT, Su Y, Griffin RG, Ranson NA, Radford SE",2018,Nat Commun
EMD-0015,REL,Symmetry-free cryo-EM map of GroEL-actin,"Milicic G, Balchin D, Hayer-Hartl M, Hartl FU",5/18/2018,8/22/2018,10.3,singleParticle,FEI FALCON II (4k x 4k),,,"Balchin D, Milicic G, Strauss M, Hayer-Hartl M, Hartl FU",2018,Cell
EMD-0016,REL,Symmetry-free cryo-EM map of TRiC in apo state (nucleotide free),"Milicic G, Balchin D, Hayer-Hartl M, Hartl FU",5/18/2018,8/22/2018,8.8,singleParticle,FEI FALCON II (4k x 4k),,,"Balchin D, Milicic G, Strauss M, Hayer-Hartl M, Hartl FU",2018,Cell
EMD-0017,REL,Symmetry-free cryo-EM map of TRiC-actin,"Milicic G, Balchin D, Hayer-Hartl M, Hartl FU",5/18/2018,8/22/2018,9.1,singleParticle,FEI FALCON II (4k x 4k),,,"Balchin D, Milicic G, Strauss M, Hayer-Hartl M, Hartl FU",2018,Cell
EMD-0018,REL,Symmetry-free cryo-EM map of TRiC-actin-alpha_CCT1,"Milicic G, Balchin D, Hayer-Hartl M, Hartl FU",5/18/2018,8/22/2018,16.7,singleParticle,FEI FALCON II (4k x 4k),,,"Balchin D, Milicic G, Strauss M, Hayer-Hartl M, Hartl FU",2018,Cell
EMD-0020,REL,Hexameric cytochrome c nitrite reductase from the bacterium Thioalkalivibrio nitratireducens (TvNiR),"Baymukhametov TN, Chesnokov YM, Pichkur EB, Boyko KM, Tikhonova TV, Myasnikov AG, Vasiliev AL, Lipkin AV, Popov VO, Kovalchuk MV",5/18/2018,1/30/2019,2.6,singleParticle,FEI FALCON II (4k x 4k),,,"Baymukhametov TN, Chesnokov YM, Pichkur EB, Boyko KM, Tikhonova TV, Myasnikov AG, Vasiliev AL, Lipkin AV, Popov VO, Kovalchuk MV",,Acta Naturae
EMD-0022,REL,Symmetry-free cryo-EM map of TRiC-ADP-BeFx,"Strauss M, Milicic G, Balchin D, Hayer-Hartl M, Hartl FU",5/19/2018,8/22/2018,7.6,singleParticle,GATAN K2 QUANTUM (4k x 4k),,,"Balchin D, Milicic G, Strauss M, Hayer-Hartl M, Hartl FU",2018,Cell
EMD-0023,REL,CryoEM structure of the MDA5-dsRNA filament in complex with ADP-AlF4,"Yu Q, Qu K, Modis Y",5/21/2018,11/21/2018,4.1,helical,FEI FALCON III (4k x 4k),,6gkh,"Yu Q, Qu K, Modis Y",2018,Mol Cell
EMD-0024,REL,CryoEM structure of the MDA5-dsRNA filament in complex with ATP (10 mM),"Yu Q, Qu K, Modis Y",5/21/2018,11/21/2018,3.9,helical,FEI FALCON III (4k x 4k),,6gkm,"Yu Q, Qu K, Modis Y",2018,Mol Cell
EMD-0025,REL,Influenza hemagglutinin (HA) trimer reconstruction at 3.2 Angstrom resolution using data from EMPIAR-10097 processed with Warp and cryoSPARC,"Tegunov D, Cramer P",5/22/2018,6/27/2018,3.2,singleParticle,GATAN K2 SUMMIT (4k x 4k),,,"Tegunov D, Cramer P",2018,BioRxiv
EMD-0027,REL,Sequence-programmable covalent bonding of designed DNA assemblies  brick-like_object_with_TT-motifs_(1)-(3)_crosslinked,"Dietz H, Kube M",5/23/2018,8/29/2018,17,singleParticle,FEI FALCON III (4k x 4k),,,"Gerling T, Kube M, Kick B, Dietz H",2018,Sci Adv
EMD-0028,REL,Sequence-programmable covalent bonding of designed DNA assemblies  brick-like_object_with_TT-motifs_(1)-(3)_crosslinked_PBS,"Dietz H, Kube M",5/23/2018,8/29/2018,17,singleParticle,FEI FALCON III (4k x 4k),,,"Gerling T, Kube M, Kick B, Dietz H",2018,Sci Adv
EMD-0029,REL,Sequence-programmable covalent bonding of designed DNA assemblies  brick-like_object_with_TT-motifs_(1)-(4)_crosslinked,"Dietz H, Kube M",5/23/2018,8/29/2018,22,singleParticle,FEI FALCON III (4k x 4k),,,"Gerling T, Kube M, Kick B, Dietz H",2018,Sci Adv
